"Date","variable","value","Case"
2013-12-26,"Mleaf",828.22315303487,"0"
2013-12-27,"Mleaf",838.500903747363,"0"
2013-12-28,"Mleaf",846.235281287465,"0"
2013-12-29,"Mleaf",854.193880453173,"0"
2013-12-30,"Mleaf",864.6803999648,"0"
2013-12-31,"Mleaf",870.650749386185,"0"
2014-01-01,"Mleaf",878.926856848408,"0"
2014-01-02,"Mleaf",884.219059666702,"0"
2014-01-03,"Mleaf",882.427489426033,"0"
2014-01-04,"Mleaf",886.041165612784,"0"
2014-01-05,"Mleaf",895.205384935896,"0"
2014-01-06,"Mleaf",904.634328201327,"0"
2014-01-07,"Mleaf",912.790280372602,"0"
2014-01-08,"Mleaf",911.58498193607,"0"
2014-01-09,"Mleaf",909.63791808806,"0"
2014-01-10,"Mleaf",911.154375916114,"0"
2014-01-11,"Mleaf",917.205503175,"0"
2014-01-12,"Mleaf",922.967255576117,"0"
2014-01-13,"Mleaf",929.595223952923,"0"
2014-01-14,"Mleaf",938.764556455407,"0"
2014-01-15,"Mleaf",946.977526362603,"0"
2014-01-16,"Mleaf",954.219456926851,"0"
2014-01-17,"Mleaf",961.022894327354,"0"
2014-01-18,"Mleaf",968.187279396371,"0"
2014-01-19,"Mleaf",973.509514557376,"0"
2014-01-20,"Mleaf",981.228713156042,"0"
2014-01-21,"Mleaf",982.378160121367,"0"
2014-01-22,"Mleaf",983.850827673387,"0"
2014-01-23,"Mleaf",977.766684264543,"0"
2014-01-24,"Mleaf",978.081470147609,"0"
2014-01-25,"Mleaf",981.900846023769,"0"
2014-01-26,"Mleaf",987.821136661232,"0"
2014-01-27,"Mleaf",987.4815039162,"0"
2014-01-28,"Mleaf",999.647984632524,"0"
2014-01-29,"Mleaf",1009.68545836647,"0"
2014-01-30,"Mleaf",1017.46484959969,"0"
2014-01-31,"Mleaf",1026.86824135055,"0"
2014-02-01,"Mleaf",1032.81563291978,"0"
2014-02-02,"Mleaf",1037.98238416217,"0"
2014-02-03,"Mleaf",1044.23962146011,"0"
2014-02-04,"Mleaf",1052.78181982759,"0"
2014-02-05,"Mleaf",1051.15832389901,"0"
2014-02-06,"Mleaf",1053.82794712646,"0"
2014-02-07,"Mleaf",1059.69680560054,"0"
